title,place,paranormal_type,description,source_url
Orcas Island Voices,"Washington, United States",Haunted Places,"You are here: Real Ghost Stories :: Haunted Places :: Orcas Island Voices

I n early 1990, I went to Orcas Island in Washington's San Juan islands to stay with family and friends at an older estate nestled on 80 beautiful wooded acres. It was a hot August afternoon and everyone but myself left to go play tennis. After lounging around awhile outside I got hot and decided to cool off inside.

The house was very lovely so I gave myself a self-guided tour. I ended up in what looked like attic space saw a lovely wood framed mirror of which I peered inside. Suddenly, I could hear voices around me, wildly talking in an attempt to be heard. Surprised and a bitshocked, I ran downstairs and fled outside. I was not going back in that house alone! When the owner's son returned with my family, I asked who might be haunting the house. I was told that there was a ghost in the house and it was a woman who had killed herself several decades earlier. She had stuffed her car's tail pipe with a rag and ran the engine in the garage until she died of carbon dioxide poisoning. She left this world but didn't leave the manor.

Find ghost hunters and paranormal investigators from Washington

The following comments are submitted by users of this site and are not official positions by yourghoststories.com. Please read our guidelines and the previous posts before posting.

To publish a comment or vote, you need to be logged in (use the login form at the top of the page). If you don't have an account, sign up , it's free!

© The ghost story Orcas Island Voices is copyrighted to AnneV. Edited by yourghoststories.com.",https://www.yourghoststories.com/real-ghost-story.php?story=1
Mommy,"Washington, United States",Apparitions / Voices / Touches,"You are here: Real Ghost Stories :: Apparitions / Voices / Touches :: Mommy

T here was a period in 1995 where a little girl lived in my house. I was laying in bed one morning relaxing before getting up and I heard a small girl's voice next to me say, ""Mommy."" It was so sweet sounding though that I wasn't afraid. About a month later, my husband of the time was fishing around in the library looking for a pack of cigarettes he had hidden when he heard a little girl ask him, ""What are you doing?"" Startled, he looked up thinking it was perhaps me but no one was there. This freaked him out and he promptly ran out of the house.

I don't know who this little girl was, why she called me mommy, or where she went shortly after these few incidents. I think sometimes only the ghost knows why or how they are there.

Find ghost hunters and paranormal investigators from Washington

The following comments are submitted by users of this site and are not official positions by yourghoststories.com. Please read our guidelines and the previous posts before posting.

To publish a comment or vote, you need to be logged in (use the login form at the top of the page). If you don't have an account, sign up , it's free!

© The ghost story Mommy is copyrighted to AnneV. Edited by yourghoststories.com.",https://www.yourghoststories.com/real-ghost-story.php?story=2
Sierra,Turkey,Family / Friends Visits,"You are here: Real Ghost Stories :: Family / Friends Visits :: Sierra

O ne day my Aunt Sierra went with me to the beach and said she was tired. ""I cant wait to sleep on my pillow!"" she said. My aunt was killed a week later. One morning, at 1:30, my cousin and I were talking about her passing away, then a folded, secure pillow case fell off a shelf. My cousin and I hid under the blanket, we knew it was her. I looked up first and when I did, I felt like something I cannot explain, some feeling of fear, or was it comfort? Anyway, I believe the pillow case had something to do with that pillow Sierra wanted... you decide.

The email address that was submitted with this story was invalid and we could not reach the author. If you are the author, please write us back so we can correct this information.

The following comments are submitted by users of this site and are not official positions by yourghoststories.com. Please read our guidelines and the previous posts before posting.

To publish a comment or vote, you need to be logged in (use the login form at the top of the page). If you don't have an account, sign up , it's free!

© The ghost story Sierra is copyrighted to hannahbmarie101. Edited by yourghoststories.com.",https://www.yourghoststories.com/real-ghost-story.php?story=8
Driving Down the Road,France,Apparitions / Voices / Touches,"You are here: Real Ghost Stories :: Apparitions / Voices / Touches :: Driving Down the Road

O ne day I was driving down the road late at night around 11:00pm and my car just shut off, I couldn't see anything because my headlights were off and my flashlight was missing. So I was on a dirt road and decided to see if there was help nearby. I heard foot steps and I turned around but no one was there. I found my flash light on the road and I turned it on and the light was pointing at a tree and I saw the words ""heaven is close."" Then I started to panic and I guess I passed out or something, and I ended up in my car again and it was turned on. I looked at the clock and it was 2:30am. I was scared out of my wits and dived back to my house in a hurry. I wonder what happened that night, can any of you help me understand this experience?

The following comments are submitted by users of this site and are not official positions by yourghoststories.com. Please read our guidelines and the previous posts before posting.

To publish a comment or vote, you need to be logged in (use the login form at the top of the page). If you don't have an account, sign up , it's free!

© The ghost story Driving Down the Road is copyrighted to Lindsay. Edited by yourghoststories.com.",https://www.yourghoststories.com/real-ghost-story.php?story=9
The Thing We Couldn't See,"Iowa, United States",Non Human Entities,"You are here: Real Ghost Stories :: Non Human Entities :: The Thing We Couldn't See

I 'd taken Dynishka to my mother's for a weekend visit. I'm not sure on the year, but I'll guess around 1987. Mom lived in Iowa. Dynishka and me were visiting from San Francisco.

For years I'd promised Dynishka I'd someday take her for a trek through my 'haunted' neighborhood. This particular time she held me to it.

We began by heading north up mom's street, which meant we were heading up a rather steep hill. At the top of the hill we crossed to the opposite side of the road, then entered a yard.

It was quite dark. As I groped to find familiar paths from my childhood, we stepped over plant material that felt spongy, and I remember thinking things had changed since last I'd made the neighborhood rounds. The yards there, in the old neighborhood, are massive, with backyards the size of football fields or better.

Finally we'd got (trespassed heh) to the back of said property, and there found a lovely little bridge crossing a small creek ... then a short jaunt and we were on another path that lead through the next yard, then on to the street north of mom's.

We headed west, past dark homes resting in ample yards ... toward the 'S' curve in the road. At the lower half of the 'S' - toward the north - was the house with the totem pole.

Le'me tell ya, this thing is weird. It doesn't stand upright, but is instead curved like a huge doughnut sunk half in the ground. It felt cold like ceramic or plaster, but I now guess it's composition to be of fiberglass. It was 'decorated' (I use the term loosely) with an array of oddities; a huge ear (about a meter in length), the face of a King off a deck of cards (unsure which suit), a large brain (perhaps 5x human brain size), um ... mushrooms, gosh, I can't remember it all! The thing looked like an acid trip realized in an incredibly weird sculpture. (I'll try to get down there this summer and take photos ~ assuming it's still there.) We stayed for just a short time. I was leery of the large dog I knew to have patrolled the property some time before. Though it was creepy, we hadn't yet felt haunted.

We made off for the church grounds. Once there, we lay down in the parking lot to catch a glimpse of the expanse of stars above.

That parking lot, historically, was always where I would acquire (if you will) 'the littles' ... the little folk, who then would always follow myself and my guest on the remainder of our explore. (More stories for another time?)

That night, though we thought we'd heard 'the littles' tell-tale whispers and giggles ... something else seemed to pervade. Not a sound, but a sense. Of darkness ... no, worse. It felt malignant. Vile. Evil.

Dynishka and me sat bolt upright and instinctively began to scoot slowly so our backs were together as there we sat.

The 'little's' whispers and giggles were stifled as birds and crickets before a storm. The silence was obvious and unnerving.

We moved to stand, and a growl met us. Though let me explain, it was less a sound than a feeling. Make sense?

We decided we should flee ... and I decided to cut through the Robinson's ... a densely wooded yard that opens to a field which leads back to mom's street.

The growl moved in front of us. Mind you, I could physically see nothing, but the presence was unmistakable.

I gently touched Dynishka on the shoulder, indicating the direction of our next move with a nod of my head ... but I didn't stray my eyes from the spot my senses told me was occupied by the *Thing*.

Suddenly I burst off toward the road, not even wasting time to go through the Robinson's ... instead we went through the Kouskie's yard ... long as the other yards but not as densely treed. As we moved toward the back ... perhaps 100 feet from the house in the side yard, the *Thing* tried to get in front of us. By now, it was making such a racket I thought I'd go mad. I can't tell you now the sounds, I can't make my mind remember them. In fact, I wasn't sure at all if the sounds were in my head only and not out of it. Then I noticed from the corner of my eye that lights had flickered on in the Kouskie's house, and heads could be seen peering out toward us through assorted windows.

Somehow, knowing that others could hear (or sense?) the *Thing* terrified me even more. I'd ducked down to hide next to a truck-topper (sans truck), which had tall grasses all around it where the lawn mower couldn't reach. Dynishka dropped to her knees next to me, gasping. ""What is that?"" she screamed in a whisper.

For a moment, I didn't feel the *Thing* impeding our path. I took the moment to bolt. I hate to say it, but I was literally out to save myself ... not even stopping for a millisecond to check that Dynishka was surviving!

I'd got to the gate that separated the Kouskie's yard from mom's neighbor-across-the-street's yard. I was freaking out and not having an easy time with the latch, when again the *Thing* loudly made it's presence known. Finally the gate was open and we were sprinting across the expansive lawn toward the driveway ~ a long and winding drive. The formal garden surrounding the house is separated from the front by a long line of trees, which run parallel with the creek (mentioned earlier in my story). As we approached said line of trees running so fast nary a step touched the ground, we awoke what sounded like hundreds of sleeping birds, who all at once fled from the trees screeching and making a horrid sound.

Then I wasn't sure if it were birds I heard, or the thing which pursued us, or both. I should mention here ... outside of abject fear, there also seemed to be some weird time/space thing happening. I can't explain or describe it, everything just felt twisted and not real. Perhaps it was just terror.

Finally, out of the trees and making our way toward the front fence/gate (imposing gothic-looking black-iron jobby that was closed argh!) we didn't break step until we hit the gate and made to climb over. I felt as the men in ""The Omen"" who were running from the evil dogs in the cemetery, and had the terrible thought I'd impale myself!

I managed not to. We ran across the street toward the warm glow of the lights lining my mother's front walk, then could detect the comforting sound of my dog Benjy barking in the backyard.

We ran up the drive and crashed through the back gate to collapse on lawn chairs ... panting and laughing-almost-crying and trying to get a word out.

As we got our thoughts (translate as sh*t) together, and could finally talk, we sat and related in hushed voices what each the other had felt and seen etc. As we did so, we could hear that my horses in the pasture behind mom's house had come up to the fence [which kept them out of the backyard proper]. My dog trotted down the stone path to say hi to them, and we followed. Eventually, we stood at the fence, petting and cooing to the animals. Before me was Zeus, our largest stallion.

I remember now, hindsight, that he was acting odd (they all were). Skittish. But at the time, I guess I was trying to make things as normal as possible, and I shook it off.

Presently, Zeus took a long step back, an awkward movement, because he did so with only one leg. He then looked straight at me (into my eyes? Dunno, too dark) and commenced to urinating (?!), a long and drawn-out piss. His stance was, how shall I say, almost threatening, like he was a bull preparing to charge!

As Dynishka and me (and poor Benjy) were witnessing all this, the *Thing* dropped down on us from above. There were no trees directly above, just an 'old fashioned' type electrical line. It dropped to the ground directly between Zeus and me, but on *my* side of the fence. When I say it dropped, I mean, we could hear it ... feel the thud reverberate through the ground at our feet (we were all standing very close ... within a 3-4 foot circle).

Again, let me remind you I could physically see nothing, but my brain ... attempted to create a mass in the general vicinity of the *Thing* ... still I seriously don't remember physically seeing anything.

Anyway, the horses, including Zeus, erupted into wild neighing, bucking and kicking, then scattered as if wolves were after them.

Absolutely speechless, I looked at Dynishka, my mind groping for any sort of reasoning. Benjy broke me of my reverie (though I doubt it lasted more than a few seconds). Benjy was barking and making for the house. Again, we followed him.

For a moment, I could not see the house nor back porch, our supposed safety. Instead, I saw myself from behind running in panic, as though I saw through it's eyes.

We made it to the porch, Benjy was already inside via his own doggy-passage through the backdoor. I was tempted to jump through it myself, but my higher logic convinced me to use the doorknob instead. Dynishka and me didn't stop until we'd run to the front of the house ... to the front and formal living room (used only when mom has guests). Once there, we were oddly calmed. Collected. Moving pointedly.

I went to the secretary in the corner and removed a pen and paper. Dynishka switched on the stereo and retrieved a bottle of merlot from the wine cabinet. I sat on the sofa, pen in hand, with a mind to write of our experience. Dynishka sat on the floor near the serving/coffee table and poured us both a glass of wine. Though out of breath, we refused to show it. We were fine. My cats, one-by-one, began to saunter into the room ~ noticing that we were out-of-sorts, but not wanting us to think they cared enough to show any concern.

Just when everything was beginning to feel all right, a huge catfight erupted under the sofa upon which I sat. I mean, you could see fur flying out from below, and of course you know how awful is that sound! There was no doubt in my mind (at that time at least) my cats were fighting the *Thing* right under my caboose!

Now that's where the story ends. I know Dynishka and me took that bottle of wine to my bedroom where we sat with every single light on (including closet lights). We did not speak further of the incident that night. We simply waited for the sun, and thankfully the wait was uneventful.

I did eventually finish penning the whole story (by hand, somewhere in the region of 20 pages front and back). I held on to it for many *many* years, too. Though now, since I bought my house in '98 August ... I have been unable to locate the sheets, alas, I've done my best in this retelling.

The following comments are submitted by users of this site and are not official positions by yourghoststories.com. Please read our guidelines and the previous posts before posting.

To publish a comment or vote, you need to be logged in (use the login form at the top of the page). If you don't have an account, sign up , it's free!

© The ghost story The Thing We Couldn't See is copyrighted to Amber LaStrega. Edited by yourghoststories.com.",https://www.yourghoststories.com/real-ghost-story.php?story=10
Bed Time,New Zealand,Haunted Places,"You are here: Real Ghost Stories :: Haunted Places :: Bed Time

I t was a school night and I had had some real rough times at school. I had just finished my dinner and went to have a bath to relax but just could not stop worrying about all my homework. As I went off to bed I felt as though someone was watching me get dressed, but being used to it I just took no notice of it.

I jumped into bed and stayed awake worrying. I heard my dad turn off all the lights and go to bed so I knew it was late.

As I finally got to sleep, I awoke to someone jumping on top of me as I was on the other side of the house I freaked out thinking if my mom and dad could hear me. I felt as though he was pulling my soul out of me through my stomach. I tried to scream but he had hold of the throat so it felt like he was holding my voicebox in his hand. I tried and tried to fight him off but he just wouldn't move until I tried to scream one more time and he vanished (I knew it was a man because I could feel big strong hands and I could also smell him).

I ran into my mom's room and told her what happened and she got two lovely ladies to bless the house. I never stayed in that room again.

Find ghost hunters and paranormal investigators from New Zealand

The following comments are submitted by users of this site and are not official positions by yourghoststories.com. Please read our guidelines and the previous posts before posting.

To publish a comment or vote, you need to be logged in (use the login form at the top of the page). If you don't have an account, sign up , it's free!

© The ghost story Bed Time is copyrighted to Hayley. Edited by yourghoststories.com.",https://www.yourghoststories.com/real-ghost-story.php?story=11
Weird Night,United Kingdom,Apparitions / Voices / Touches,"You are here: Real Ghost Stories :: Apparitions / Voices / Touches :: Weird Night

M y friend Janine and I worked in an old Hall in Lowestoft, Suffolk in the early nineties. I was living about a mile from the Hall, we finished work at about 11:00pm and were going back to mine for a drink. There we were, me wheeling my cycle and her holding a plate with a slice of lemon meringue pie on it walking down an unlit dual carriageway, halfway down this road was a layby hidden from the road by a small island covered in trees and bushes. We heard a van pull into the layby and a minute later we heard a noise behind us, looking back we saw a man pretending to pee while looking back the way we had come, strange...

He turned and looked straight at us, jumped onto the road and started to chase us. We shot down the road, it was late with hardly a car about, Janine pulled me across the road in an attempt to force a car to stop but they just swerved around us beeping their horn. The road was empty again. The man was gaining on us, my bag had caught on my bike so I had to haul it on my shoulder. He reached out and grabbed my hair, I swung my bike and knocked him back. Running across the road we saw an oldish man walking down the central reservation and ran towards him shouting for help. He was dressed in weird clothes, a tweed suit and the trousers came to just below his knees like plus fours. We looked back, the guy had seen him too and had turned around and was running back to his van. We were only about ten feet from him but the old guy seemed not to see us and kept looking into the distance as though nothing was happening. This infuriated us and we ran towards him demanding to know what he was playing at, when, just as we reached him he disappeared! Absolutely gobsmacked we ran on until we got to the farmhouse where I lived and called the police. The guy who had chased us fitted the description of someone who had attacked a girl in the next village to us! One of the policewomen told us that many years ago a man and his family had crashed not far down the road and that he had tried to walk to the village for help but died of his injuries before he got there, he'd been seen quite a few times before. He may not have saved his family all those years ago, but he sure saved us that night. The upside of this is that all through this Janine managed to keep hold of that pie, nothing has ever tasted so good!

Find ghost hunters and paranormal investigators from United Kingdom

The following comments are submitted by users of this site and are not official positions by yourghoststories.com. Please read our guidelines and the previous posts before posting.

To publish a comment or vote, you need to be logged in (use the login form at the top of the page). If you don't have an account, sign up , it's free!

© The ghost story Weird Night is copyrighted to Deborah. Edited by yourghoststories.com.",https://www.yourghoststories.com/real-ghost-story.php?story=12
Suffocated by Evil,"California, United States",Psychic / Medium,"You are here: Real Ghost Stories :: Psychic / Medium :: Suffocated by Evil

I have many ghost stories and will post them here separately.  This is the most ""impressive"" one though...

I was asleep one night when I awoke, realizing that I couldn't breathe.  Now, I have several cats (don't most psychic people?) and, on occasion, they will lie down on my face while sleeping... such is their way.  (As a wise person once told me - the one thing to always remember about cats is - if they were bigger, they'd eat you.)  :-)  So, I assumed this is what was happening.

However, when I was fully awake, I realized that I couldn't move and furthermore, that it was my pillow that was covering my face.  I was lying on my side and the pillow I had my head on, was folded up over my face.  So, once again, I assumed a cat had just slipped under there, but... that wasn't it.

I started to panic because I couldn't move and I also couldn't breathe!  Now - the pillow just wasn't covering my face - it was being *pressed into* my face.  I finally was able to, using all my might, move my head just a little bit back and forth.

After a couple seconds of that, the pillow suddenly dropped from my face and, standing right next to my bed, was this tall, thin ""Death"" figure, except all in white.  Like a skeleton in a long, heavy, hooded robe that covered all but the hands.  Where the face would be was just ""ethereal"" whiteness.

Within a split second, this figure reached down and grabbed by bedspread and pulled it over my face and held it tight, trying to suffocate me again!  I thought, ""This thing is going to kill me - I have to do something!""  But, again, I couldn't move - I was paralyzed.

Then, I remembered, that I had been studying up on auras and I realized - this was my only chance.  Again, with all my might, I envisioned an energy field around me and, when it had solidified, I pushed it as hard as I could towards this ""thing"" by my bed.

Suddenly, the bedspread flew off my face (and nearly off the bed) and I was able to see this ""thing"" being flung back to wherever it came from!  It just quickly flew back away from the bed, getting smaller and smaller until it disappeared.

When it was gone, I was suddenly able to move again, so I immediately jumped out of bed and flung on all the lights and started screaming and crying... still being frightened out of my mind!

I couldn't stop screaming and crying about it for 2 days - I had truly felt like someone had just tried to kill me.  I couldn't go to work... I couldn't do anything.  It took about a week for me to be able to go back into my bedroom and then, about a month for me to be able to go to sleep without having ALL the lights on.

People who know this event ask me how I could still live there.  I tell them - if something evil is out to get you - it will find you where ever you are - moving won't change that.

Find ghost hunters and paranormal investigators from California

The following comments are submitted by users of this site and are not official positions by yourghoststories.com. Please read our guidelines and the previous posts before posting.

To publish a comment or vote, you need to be logged in (use the login form at the top of the page). If you don't have an account, sign up , it's free!

© The ghost story Suffocated by Evil is copyrighted to Rebecca. Edited by yourghoststories.com.",https://www.yourghoststories.com/real-ghost-story.php?story=14
My Haunted Apartment,"California, United States",Psychic / Medium,"You are here: Real Ghost Stories :: Psychic / Medium :: My Haunted Apartment

H ere are random little ghostly events that have occurred in my current apartment.

The first ghost experience I ever encountered there was awaking one night to find a full size horse standing by my bed!  (Quite a sight in my tiny apartment!)  I screamed ""What is that?"" and then noticed there was a cowboy on the horse, dressed in traditional ""Old West"" garb.  He tipped his hat to me, lightly kicked the horse with his spurs, and the horse sauntered off through the wall.

Now, I live on the 2nd story and the wall the horse went through was an outside wall.  So, people always ask me, ""Well, didn't the horse fall once it was outside?""  Hello!  It's a ghost!  If it can go through a wall, do you think a little thing like *gravity* would be a concern?  :-)

Another time, I awoke to find a guy standing at the foot of my bed.  He was dressed in a dark blue checked shirt and khaki pants.  He was about maybe 50 and was kinda pudgy.  He didn't seem threatening at all.  Once he realized I saw him, he just disappeared.

Another time, I was trying to fall asleep and noticed a ""lump"" under my blankets moving from the edge of the bed towards me, kinda slowly.  I assumed one of my cats had crawled under there and was approaching me, so I put my hand out to pet it on top of the covers, saying, ""Oh, what a cute kitty!""  However, as soon as I put my hand down for the pet, the ""lump"" disappeared - nothing was there!  That totally freaked me out - because, it had been a pretty big ""lump"" - definitely cat sized.

In my bedroom, I have a huge window that takes up at least half of the wall.  Living in the middle of the city, there is always significant ambient light coming through that window, not to mention my neighbors very bright security light he always has on.

Anyway, one night, as I turned off the light to go to sleep, suddenly, I was thrown into total darkness.  Like - have you ever been deep in a cave where no light can go?  The kind of darkness that is total, complete and ...threatening!

So, I immediately turned the light back on and looked out the window to see if maybe the power had gone off in the city or something, but, no, all my town's lights were still on, shining through my window.

So, I turn the light off again and...total evil darkness again!  Almost like, being thrown into another dimension!  So, the light came on immediately again and stayed on the rest of the night!

Another time, I awoke just in time to see this hairy creature running at me carrying a club over his head, like he was going to hit me with it!  I screamed and the creature stopped and was suddenly flung backwards, getting smaller and smaller until it disappeared.

Now, most of these things have occurred at night, so skeptics could say, ""Oh you were tired, so you imagined it"", etc.  However...

Several times, during the day, in my living room, I will have this little cloud of small lights appear and swirl around near the ceiling for several minutes at a time.  Since I am usually engrossed in my TV show, my cats are usually the ones to notice them first.  They will all run to just below the cloud and all stand up on their hind legs and reach out with their paws towards the lights, chattering the way cats do when they are excited.

Then, just as suddenly as they arrived, they are gone.  And, the cats go back to their business...of sleeping and destroying everything I own!  Oh well....

Find ghost hunters and paranormal investigators from California

The following comments are submitted by users of this site and are not official positions by yourghoststories.com. Please read our guidelines and the previous posts before posting.

To publish a comment or vote, you need to be logged in (use the login form at the top of the page). If you don't have an account, sign up , it's free!

© The ghost story My Haunted Apartment is copyrighted to Rebecca. Edited by yourghoststories.com.",https://www.yourghoststories.com/real-ghost-story.php?story=15
Beads Taken Off  by Ghost?,Canada,Haunted Places,"You are here: Real Ghost Stories :: Haunted Places :: Beads Taken Off  by Ghost?

H ere's the gist. My best friend (chrissy) has a ghost that came to her door a couple of times and it really freaked her out so one night she put prayer beads on the doorknob and it didn't reappear for the past year. Last friday I went to go changing in her room but the door wouldn't shut because there were things blocking it, so I took the stuff off and put it in her laundry basket. I closed it and started changing (no one was home but chrissy and her step sister), they were all downstairs, and the door opened, I shouted ""chrissy, wait, I'm changing"" then I closed it back. It immediately opened right back and I said ""stop it"", then I tried to close it again, I leaned on the door, and I felt the door knob twist so I open it but no one was there. I went downstairs and told them the whole story but they said they were down there the whole time then chrissy asked me: ""did you take the beads off the door?"" I told her I did, then we all freaked out and sent her step sister upstairs to put it back on. However, they weren't there at first, but when we looked back on the doorknob they were suddenly there again. I know I took everything off the door... It was a scary night.

The email address that was submitted with this story was invalid and we could not reach the author. If you are the author, please write us back so we can correct this information.

The following comments are submitted by users of this site and are not official positions by yourghoststories.com. Please read our guidelines and the previous posts before posting.

To publish a comment or vote, you need to be logged in (use the login form at the top of the page). If you don't have an account, sign up , it's free!

© The ghost story Beads Taken Off  by Ghost? is copyrighted to Brandy. Edited by yourghoststories.com.",https://www.yourghoststories.com/real-ghost-story.php?story=17
