title,place,paranormal_type,description,source_url
Figure at my Bedside,"California, United States",Apparitions / Voices / Touches,"You are here: Real Ghost Stories :: Apparitions / Voices / Touches :: Figure at my Bedside

T his is my one and only paranormal experience, thankfully, because I don't know if I could survive another! I was about 14 years old at the time (25 now) and was spending winter vacation at my grandparents house. Now, my grandparents house wasn't old, it wasn't reportedly haunted or even built on an indian burial ground - nothing dramatic, just a newer house built in the forest.

I was sleeping in the spare bedroom with my cousin and was slowly awakened, by what I don't remember, but suddenly I was WIDE AWAKE. There in the glow from the fire place lighting the room, there was a black figure walking from just outside the doorway to beside the bed - right beside me. This figure had no discernable features, but it was as big as the door frame and was just walking out to the hallway and back to the bedside. I was paralyzed with fear. My stomach would clench as the figure drew nearer and nearer, terrified that it would reach out and touch me. It would get close and then turn around again. I was scared, but not so much that I couldn't elbow my cousin and ask her to switch places with me! She just groaned and never woke up.

I don't know what or who it could have been but I couldn't have felt too threatened because I fell back asleep eventually. That's it, no big ending and I never encountered it again. As I get older I wonder could it have been someone in my family or even someone in my cousin's family (her other side) protecting us during the night? Something to discuss at holidays with the family!

Find ghost hunters and paranormal investigators from California

The following comments are submitted by users of this site and are not official positions by yourghoststories.com. Please read our guidelines and the previous posts before posting. The author, Heidi, has the following expectation about your feedback: I will read the comments and participate in the discussion.

To publish a comment or vote, you need to be logged in (use the login form at the top of the page). If you don't have an account, sign up , it's free!

© The ghost story Figure at my Bedside is copyrighted to Heidi. Edited by yourghoststories.com.",https://www.yourghoststories.com/real-ghost-story.php?story=2131
A Ghost Scared of Yamraj,India,Old Hags / Night Attacks / Sleep Paralysis,"You are here: Real Ghost Stories :: Old Hags / Night Attacks / Sleep Paralysis :: A Ghost Scared of Yamraj

I have heard the stories of ghosts and paranormal experiences of people in older times from my grandmother. But today, no one believes in such things because we are living in the 21st century where such incidents are considered to be a symbol of mockery. But the supernatural happening that occurred to me a few days back compelled me to believe that in this world, there is a real evil.

I was sleeping when I saw a man in my dream. He looked sad and flogged. He was painfully thin and there was a bruise on the side of his cheek, the size of a man's fist. He was trying to convince me of something. Then he looked back and told me ""Get Lost"" as he told that Yamraj (Hindu god of death) was approaching. His blutering hadn't worked so he began to whine. He then told that if I failed to rescue him from Yamraj, then he will haunt me every night and he won't let me sleep. I was terrified.

My dream broke from fear I felt even during the sleep. To my horror, I saw someone sitting beside my bed who looked still. His figure was similar to my father but he was not my dad. I recognized him from his cheek. He was the man which came in my dream. He looked so real that I asked him about his problem. Now with an aggressive face he turned towards me and he passed through my body. I was paralyzed. I gave out a loud shout which awakened my parents. They asked me why I shouted. When I told them all this, they were not convinced. They thought that I had seen a dream. But I'm sure that it was something more... More than a dream.

From that day, I never saw him again and he had never haunted me. Maybe god Yamraj has sent him to a proper place where he deserved to be!

The following comments are submitted by users of this site and are not official positions by yourghoststories.com. Please read our guidelines and the previous posts before posting. The author, siddharth, has the following expectation about your feedback: I will participate in the discussion and I need help with what I have experienced.

To publish a comment or vote, you need to be logged in (use the login form at the top of the page). If you don't have an account, sign up , it's free!

© The ghost story A Ghost Scared of Yamraj is copyrighted to siddharth. Edited by yourghoststories.com.",https://www.yourghoststories.com/real-ghost-story.php?story=2132
Worse than Scared - Petrified,"Texas, United States",Old Hags / Night Attacks / Sleep Paralysis,"You are here: Real Ghost Stories :: Old Hags / Night Attacks / Sleep Paralysis :: Worse than Scared - Petrified

I very much believe in the paranormal however, I have never had a negative experience until last night. I can't recall ever feeling so scared and helpless. I had been up and down all night as we just got a new puppy that I have to get up with approx. every 2 hours. After waking up one time I went back to sleep. The whole experience began as if a dream.

In the beginning of the dream I had gone outside to take the dog out (it was a totally different house, surroundings, etc). As I looked to the left I saw that I had apparently scared someone off as there was a lit cigarette sitting on the corner of the house to my left held by I don't know what. It was not on the ground - it appeared as if it was being held by a bracket sort of thing. I started getting scared at that time. I went back inside (this is still the dream) and I'm not sure what happened then. This is where it gets really scary.

I was in bed, my husband was beside me sound asleep (he is a hard sleeper). I was laying face down, yet I could hear noises (not loud, maybe like a shuffling) going on around me. I remember feeling at first as if there was 1 person, but shortly after I realized that there were 2. I remember feeling like I had been drugged. I couldn't wake up, move, or scream. It was so vivid. I remember fighting to wake up. I remember trying to make some sound and eventually trying with all of my strength to scream and I could make no sounds.

There were times that I was able to wake up and in one of these I put my arm around my husbands waist (I was still on my stomach). The consciousness didn't last long at all when it did come. After this I was trying so hard to move my arm or fingers to wake my husband up, but nothing would move and again I couldn't wake up or scream. I would occasionally hear things around me. I remember thinking that my husband and I had both been drugged (like the scene in the movie "" What Lies Beneath "" where Harrison Ford has drugged Michelle Pfeiffer and puts her in the bath tub and turns the water on). The only difference was that she had her eyes open and despite all my effort I couldn't open my eyes.

I can remember thinking that they had really drugged my husband so he wouldn't realize what was going on and were leaving him alone. I remember thinking to myself that whenever I had encountered spirits in the past none have been aggressive. There were a few times I was able to fight off the fatigue and I was eventually able to wake my husband up enough to tell him to save me and that 2 ghosts were trying to get me. Him, being the non believer that he is, told me that I needed to tell them to go away. He didn't seem to realize that I was petrified. I had been fighting this for what seemed to be forever. Each time I was scared to go back into the catatonic state but couldn't fight it off.

The one time that I was successful in getting my husband's attention he got up, went to the bathroom, came back and we laid facing each other with our arms around each other. I remember feeling the energy behind my back and repeatedly flinching like they were trying to get me away from my husband. I guess they eventually left because I was able to go to sleep feeling like it was safe.

The following comments are submitted by users of this site and are not official positions by yourghoststories.com. Please read our guidelines and the previous posts before posting. The author, Kristi072458, has the following expectation about your feedback: I will participate in the discussion and I need help with what I have experienced.

To publish a comment or vote, you need to be logged in (use the login form at the top of the page). If you don't have an account, sign up , it's free!

© The ghost story Worse than Scared - Petrified is copyrighted to Kristi072458. Edited by yourghoststories.com.",https://www.yourghoststories.com/real-ghost-story.php?story=2133
An Orb Floating Above my Grandmother's Headstone,Ireland,Photographs / Videos / EVP,"You are here: Real Ghost Stories :: Photographs / Videos / EVP :: An Orb Floating Above my Grandmother's Headstone

I t was March 3rd, 2007. Me and my family where at my grandmother's tomb on her memorial day. It was a sad day. We sang the songs she wrote in her journal. I took a picture of her tomb, and a strange light of ball appeared floating near it on the photo on my camera. Their was nothing their before I took anything. I have no idea what it is called. Does anybody know out there? I would like to know.

I'm glad to be sharing my photo I took with you. Can you help? I have written a story called: The Ireland Hunted House . Perhaps you would like to read that too. But I need help with this one.

This has never happened to me before. It's disturbing. What makes the thing appear? Why did it only show on my camera film? It's all too strange. I hope there's someone out there with similar experience. This is the first time a thing like this has happened to me. My photo is with this story, and I am not joshing about it. Me and my Aunt Mary where the only ones there. Does anybody know? My Aunt Mary is scared of it, she confiscated my camera from me. I'm mad at that. I have other photos also, with the same things happened.

I'm glad I found this web site. It helps me share my troubled feelings and thoughts I need to know. Please, I need help.

The following comments are submitted by users of this site and are not official positions by yourghoststories.com. Please read our guidelines and the previous posts before posting. The author, 4u_allie, has the following expectation about your feedback: I will read the comments and participate in the discussion.

To publish a comment or vote, you need to be logged in (use the login form at the top of the page). If you don't have an account, sign up , it's free!

© The ghost story An Orb Floating Above my Grandmother's Headstone is copyrighted to 4u_allie. Edited by yourghoststories.com.",https://www.yourghoststories.com/real-ghost-story.php?story=2134
Famous Toys R Us Ghost in Sunnyville,"California, United States",Haunted Places,"You are here: Real Ghost Stories :: Haunted Places :: Famous Toys R Us Ghost in Sunnyville

I went to Sunnyville, California to visit their Toys 'R' Us store. I'm a ghost hunter. I went there with three of my cousins: Jess, Kayla, Sierra. We went inside the store to buy a couple of stuff to show the family when we would go back to Utah. As I went through the doll aisle, a doll came out of its package and landed on the floor right beside me! By itself! No joke. I was shaking all over, I ran to see my cousins and told them what happened. They thought I was joking around with them but they soon realized for themselves that I wasn't.

The store manager saw us group of girls all freaked out and clumped together.

The manager: ""Johnson, these girls were only here to buy. Sorry about him. Johnson haunts this store ever since they built this store over the land where his homeland was. Some say he died by a ax in his thigh. Who knows?""

""Yep. Just a warning, don't go through the Play-Doh aisle. Enter at your own risk. But you know, Johnson isn't the only ghost here. Their's a group of them with him. And don't go upstairs where the camera room is...""

We stood in front of the Play_Doh aisle. I took a picture with my camera it was amazing! An example of what my photo looked like . But Johnson the ghost wasn't leaning against the wall. Why do ghosts stay here with us?

Find ghost hunters and paranormal investigators from California

The following comments are submitted by users of this site and are not official positions by yourghoststories.com. Please read our guidelines and the previous posts before posting. The author, 4u_allie, has the following expectation about your feedback: I will participate in the discussion and I need help with what I have experienced.

To publish a comment or vote, you need to be logged in (use the login form at the top of the page). If you don't have an account, sign up , it's free!

© The ghost story Famous Toys R Us Ghost in Sunnyville is copyrighted to 4u_allie. Edited by yourghoststories.com.",https://www.yourghoststories.com/real-ghost-story.php?story=2061
The Ghostly Paulding Light,"Michigan, United States",Orbs / Lights / Mists,"You are here: Real Ghost Stories :: Orbs / Lights / Mists :: The Ghostly Paulding Light

L ast month, with my family, we went to MI to see the Paulding Light. It's real! When my mum parked our car to see to the view of the light, that big, bright light seemed to zip right down on the power lines! It was so cool. I took a camera photo of it and and recorded it on our video cam. When the light started to race on the power line towards us, literally, it chased us! Man, it scared the heck out of us.

Now, when it comes to scare a 17 year old, that's pretty hard. But this spooked the devil out of me! When I first saw it, I thought it was an Orb. But people say its the ghost of a little boy searching the tracks high and low for his sister's head that was beheaded from the train running over her, killing both of them.

As the light started chasing us, you could hear its vibration and feel them! We ran to the car and drove home. Not looking back.

But what is it? What is it that makes that light truly stay their? Sometimes when I see things like ghosts or orbs, they stay here with unfinished business. I wish somehow that we could make that thing go away. But, why did it chase us? Why is it a light and not a ghost of the boy instead? I need help! Why, why?

Seriously, though, it spooked me. It reminded me of Casper the Friendly ghost. Except it wasn't friendly.

Find ghost hunters and paranormal investigators from Michigan

The following comments are submitted by users of this site and are not official positions by yourghoststories.com. Please read our guidelines and the previous posts before posting. The author, 4u_allie, has the following expectation about your feedback: I will participate in the discussion and I need help with what I have experienced.

To publish a comment or vote, you need to be logged in (use the login form at the top of the page). If you don't have an account, sign up , it's free!

© The ghost story The Ghostly Paulding Light is copyrighted to 4u_allie. Edited by yourghoststories.com.",https://www.yourghoststories.com/real-ghost-story.php?story=2081
I Saw a Ghost,"New York, United States",Family / Friends Visits,"You are here: Real Ghost Stories :: Family / Friends Visits :: I Saw a Ghost

I t's Christmas, 1991, in Buffalo NY. Family from all different states are celebrating the holiday at my parents' house, which I will mention is the same house my mother grew up in. I go upstairs to get my pajamas on and something catches the corner of my eye. I look in front of my bathroom door and see a man. He only appears from the chest and up; he isn't solid but isn't transparent either. He is wearing a leather aviator jacket, glasses, and a wool cap with the ear flaps pulled down. He is old. Being only eleven years old, I bolt down the stairs and don't mention anything, nor do I explain why I am going to sleep at 8:00 PM when my four year old cousin was told to go to bed (she shared my room during her visit).

Flash-forward to sometime over Christmas break that same year: I am looking at old family photos with my brother, and I come across a photo of the same man I saw a week earlier in my room! I ask my Mom who he is, she tells me he is my Great Grandfather. I ask where he lives, she tells me that he passed away a few days after I was born.

I don't know why he popped in, and now I feel a bit bad for running away from him (hey, I was eleven years old!). But it makes sense now: all the family is together in ""the old house,"" he had been there when he was alive. I suppose he was just checking in on me! He was the first ghost I saw, but not the last.

Find ghost hunters and paranormal investigators from New York

The following comments are submitted by users of this site and are not official positions by yourghoststories.com. Please read our guidelines and the previous posts before posting. The author, april, has the following expectation about your feedback: I will participate in the discussion and I need help with what I have experienced.

To publish a comment or vote, you need to be logged in (use the login form at the top of the page). If you don't have an account, sign up , it's free!

© The ghost story I Saw a Ghost is copyrighted to april. Edited by yourghoststories.com.",https://www.yourghoststories.com/real-ghost-story.php?story=2137
I Saw a Ghost (Again),"New York, United States",Family / Friends Visits,"You are here: Real Ghost Stories :: Family / Friends Visits :: I Saw a Ghost (Again)

A bit of detail before I go into the story: I have a large family. I was fortunate to be close to all my cousins from childhood through present day. My cousin's mom was a big fan of Easter, she was always making Easter baskets for her kids, even when they were grown. I am the youngest of two siblings, so I always related the best to other ""youngest"" cousins. My favorite cousin I will call ""J..."" Some say he committed suicide, others suspect foul play. Either way, I miss him very much - and it's almost been ten years since he's been gone.

A bit more detail: the night he went missing, I dreamt that we were playing hide and seek in this huge orchard of apple trees. We were kids in the dream, and as I chased after him, we aged. I tripped over a tree root, looked up... And woke up crying and screaming. This isn't the first dream I've had like this (prophetic) so needless to say I was worried. Come to find out later in the day he was found dead; hanging from a tree.

So now the ghost story: it was Easter time, I was thinking of J because of the whole Easter-thing. I went to sleep crying. My sleep was interrupted: I was being physically shaken in a ""Get up, get up!"" kind of way. I saw a dark figure hovering over me, silent. It was mostly a head and shoulders, but I didn't look for anything more. Panicking, I threw a stuffed animal at it and covered my eyes like a little kid. I hoped for ANY sound from my parents downstairs, and finally heard my Dad making his coffee. I bolted down the stairs so fast and so scared! I told my Dad: ""There's someone in the house! He's in my room!"" He almost called the Police, it was that real to the both of us. He thought someone had broken into our home.

Later that day, my brother mentioned a story about J. It was this stupid thing that kids do: stick their heads in stuff. Well J had stuck his head in my Grandmother's cat's wicker basket, and his head got stuck. I remember my Grandmother pulling the basket off his head; he was standing in front of the window where the sun was shining in. I didn't so much see his face, but his silhouette. And then it hit me: the shape of his head. The figure hovering over me. I had seen J, and didn't even know it until someone brought him up.

Find ghost hunters and paranormal investigators from New York

The following comments are submitted by users of this site and are not official positions by yourghoststories.com. Please read our guidelines and the previous posts before posting. The author, april, has the following expectation about your feedback: I will participate in the discussion and I need help with what I have experienced.

To publish a comment or vote, you need to be logged in (use the login form at the top of the page). If you don't have an account, sign up , it's free!

© The ghost story I Saw a Ghost (Again) is copyrighted to april. Edited by yourghoststories.com.",https://www.yourghoststories.com/real-ghost-story.php?story=2138
Scariest Night of my Life,"California, United States",Poltergeists / Physical Manifestations,"You are here: Real Ghost Stories :: Poltergeists / Physical Manifestations :: Scariest Night of my Life

I t was October 12, 2007 around 9:30 pm and I was on the computer. I was alone in the house (except for the cats) and was getting ready to watch a movie when all of the sudden one of my cats started hissing and scratching violently at the corner of the room that was completely empty. His hair was straight up and his ears were folded over.

After a couple minutes of me standing there staring blankly at him it started to get really cold and the hair on the back of my neck and arms started to stand up. I could literally see my breath. I went to turn the thermostat up and every thing went silent, even my cat. It was getting pretty creepy sitting there in complete silence, until I started hearing these scratching noises. For a second I thought it was my cat again but he was sitting calmly right next to me.

I started to get the chills again and all of the sudden, like out of nowhere I see my tape dispenser fly off my desk and slam into the wall. It hit so hard that it made a very loud thud and left a hole in the wall. I mean what do you do when this kind of stuff happens? Do you just try to leave the house or do you wait for something else to happen? Seriously? I was totally freaked out and that's when my cat started up again, hissing and growling at the corner.

I didn't know what to do so I just went to (more like ran faster than I ever have) to my Aunt's house down the street and stayed there for the night. It's like whenever I tell this story I get the chills and scare myself.

Find ghost hunters and paranormal investigators from California

The following comments are submitted by users of this site and are not official positions by yourghoststories.com. Please read our guidelines and the previous posts before posting. The author, Eric, has the following expectation about your feedback: I won't be reading the comments.

To publish a comment or vote, you need to be logged in (use the login form at the top of the page). If you don't have an account, sign up , it's free!

© The ghost story Scariest Night of my Life is copyrighted to Eric. Edited by yourghoststories.com.",https://www.yourghoststories.com/real-ghost-story.php?story=2139
Who Turned the Lights Out?,"California, United States",Haunted Places,"You are here: Real Ghost Stories :: Haunted Places :: Who Turned the Lights Out?

I t's 10:40pm, on Monday, October 15. My wife and I have just tended to our daughter who turns three years old in exactly one week. We'd put our daughter down to sleep around 9pm and were watching television when we heard her start crying. Running to her room I opened the door and was met with darkness. I flicked the switch inside the doorway but the light did not go on so I crossed the room to where the lamp stood and flicked the switch there, but still the lamp did not go on. I leaned over, found the night-light in the outlet and turned it on. By its light I could see the plug to the lamp laying on the floor; it had been pulled out of the wall. I plugged the lamp back in and once again the room was filled with light... Just like we'd left it an hour and a half ago.

Our daughter doesn't like to sleep in the dark so not only does she have her night-light, but we've been leaving her lamp on until we go to bed, too.

I picked my daughter up and my wife and I calmed her down and got her back into bed, and then she said those words parents the world over have probably heard many times before, but just written off as their baby having a bad dream.

In light of other things that have happened in our house before tonight , I didn't even need to look at my wife to know exactly what she was thinking.

As I tucked my daughter in I said quite loudly, ""Leave the lights alone. You've scared the little girl. She doesn't like the dark. It's not funny so leave the lights alone...""

My daughter looked up at me and I smiled and winked at her, and she smiled back at me. We kissed her goodnight and as we left her room and closed the door I smiled back at her and said once more, ""Leave the lights alone...""

Hiding books and small items for days at a time is harmless. Scaring my daughter by turning off the lights is a prank of a different nature, so I hope our co-inhabitants got my message that we didn't appreciate it. I don't know whether they were trying to be helpful by turning out her lights like we would do before we go to bed, or if they were just playing a joke, but we didn't find it very funny and neither did our daughter.

Find ghost hunters and paranormal investigators from California

The following comments are submitted by users of this site and are not official positions by yourghoststories.com. Please read our guidelines and the previous posts before posting. The author, Kwazimoto, has the following expectation about your feedback: I will read the comments and participate in the discussion.

To publish a comment or vote, you need to be logged in (use the login form at the top of the page). If you don't have an account, sign up , it's free!

© The ghost story Who Turned the Lights Out? is copyrighted to Kwazimoto. Edited by yourghoststories.com.",https://www.yourghoststories.com/real-ghost-story.php?story=2140
